Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,O_TOV%,ORB%,O_FT/FGA,D_eFG%,DRB%,D_FT/FGA,Year
Utah Jazz*,29.6,60.0,22.0,61,21,7.99,-0.23,7.76,114.3,105.7,8.6,92.6,0.392,0.126,0.587,14.8,29.1,0.306,0.496,72.5,0.292,1995
Seattle SuperSonics*,28.7,57.0,25.0,61,21,8.18,-0.27,7.91,114.8,106.3,8.5,95.5,0.38,0.194,0.575,14.1,32.6,0.288,0.492,68.7,0.278,1995
Orlando Magic*,26.6,57.0,25.0,59,23,7.06,-0.62,6.44,115.1,107.8,7.3,95.1,0.357,0.205,0.569,14.0,34.0,0.239,0.49,68.4,0.22,1995
San Antonio Spurs*,29.0,62.0,20.0,57,25,5.96,-0.06,5.9,111.7,105.4,6.3,94.6,0.372,0.173,0.562,13.8,30.9,0.275,0.485,72.3,0.214,1995
Chicago Bulls*,28.1,47.0,35.0,54,28,4.83,-0.51,4.32,109.5,104.3,5.2,92.0,0.308,0.177,0.546,14.5,32.9,0.224,0.488,68.2,0.263,1995
Phoenix Suns*,29.2,59.0,23.0,51,31,3.88,-0.02,3.86,114.5,110.4,4.1,95.9,0.338,0.227,0.567,12.7,29.7,0.255,0.515,69.8,0.228,1995
Portland Trail Blazers*,29.3,44.0,38.0,52,30,3.82,-0.02,3.8,109.7,105.7,4.0,93.8,0.313,0.177,0.521,13.0,37.1,0.218,0.491,73.5,0.277,1995
Indiana Pacers*,28.7,52.0,30.0,52,30,3.7,-0.34,3.35,109.6,105.6,4.0,90.0,0.383,0.158,0.557,15.5,32.8,0.287,0.493,68.6,0.237,1995
Charlotte Hornets*,28.0,50.0,32.0,50,32,3.28,-0.41,2.87,109.6,106.1,3.5,91.2,0.317,0.219,0.562,14.3,26.0,0.247,0.485,68.5,0.202,1995
New York Knicks*,29.4,55.0,27.0,50,32,3.11,-0.33,2.78,107.2,103.8,3.4,91.2,0.331,0.226,0.55,15.1,28.6,0.243,0.468,70.8,0.281,1995
Houston Rockets*,28.5,47.0,35.0,47,35,2.12,0.2,2.32,109.7,107.4,2.3,94.2,0.31,0.267,0.568,15.0,26.9,0.232,0.489,67.7,0.199,1995
Atlanta Hawks*,28.2,42.0,40.0,45,37,1.28,-0.22,1.06,106.6,105.2,1.4,89.8,0.292,0.237,0.525,13.9,31.6,0.211,0.495,68.4,0.215,1995
Denver Nuggets*,26.6,41.0,41.0,43,39,0.84,0.11,0.96,109.1,108.2,0.9,91.5,0.357,0.18,0.556,15.6,32.0,0.263,0.487,70.2,0.257,1995
Cleveland Cavaliers*,28.3,43.0,39.0,43,39,0.62,-0.07,0.55,105.3,104.6,0.7,84.8,0.317,0.165,0.52,14.2,31.8,0.241,0.493,72.4,0.224,1995
Los Angeles Lakers*,25.9,48.0,34.0,40,42,-0.22,0.21,-0.01,109.1,109.4,-0.3,95.2,0.292,0.21,0.539,13.4,31.3,0.215,0.5,64.4,0.224,1995
Sacramento Kings,26.4,39.0,43.0,38,44,-1.0,0.26,-0.74,105.5,106.5,-1.0,92.3,0.359,0.16,0.538,16.2,32.1,0.255,0.481,67.0,0.28,1995
Miami Heat,27.1,32.0,50.0,36,46,-1.63,-0.21,-1.85,108.2,109.9,-1.7,92.9,0.317,0.175,0.54,14.4,31.7,0.233,0.51,68.7,0.264,1995
Boston Celtics*,27.2,35.0,47.0,36,46,-1.88,-0.04,-1.92,108.6,110.6,-2.0,94.0,0.331,0.144,0.537,14.3,33.1,0.249,0.512,68.6,0.235,1995
Dallas Mavericks,24.3,36.0,46.0,33,49,-2.9,0.51,-2.39,107.6,110.6,-3.0,94.7,0.301,0.163,0.509,13.9,38.9,0.221,0.519,69.8,0.208,1995
New Jersey Nets,27.5,30.0,52.0,32,50,-3.13,-0.14,-3.28,105.2,108.6,-3.4,92.3,0.342,0.192,0.519,14.4,33.3,0.26,0.493,70.9,0.217,1995
Milwaukee Bucks,25.7,34.0,48.0,29,53,-4.37,0.07,-4.3,106.2,110.9,-4.7,92.7,0.343,0.205,0.537,15.5,31.3,0.244,0.53,68.3,0.23,1995
Golden State Warriors,26.0,26.0,56.0,27,55,-5.41,0.51,-4.9,106.7,112.2,-5.5,97.9,0.348,0.233,0.547,15.9,30.3,0.245,0.522,66.5,0.216,1995
Philadelphia 76ers,25.1,24.0,58.0,27,55,-5.07,0.01,-5.06,104.1,109.7,-5.6,91.0,0.323,0.142,0.521,15.3,32.3,0.238,0.5,66.1,0.235,1995
Washington Bullets,24.5,21.0,61.0,26,56,-5.6,0.04,-5.56,105.4,111.3,-5.9,94.5,0.292,0.183,0.529,14.3,29.3,0.211,0.512,66.7,0.262,1995
Detroit Pistons,26.9,28.0,54.0,22,60,-7.29,0.21,-7.08,105.1,112.9,-7.8,93.2,0.293,0.21,0.538,15.0,28.3,0.217,0.51,65.8,0.299,1995
Los Angeles Clippers,24.9,17.0,65.0,18,64,-9.16,0.73,-8.43,101.5,111.1,-9.6,94.3,0.302,0.153,0.508,14.6,29.6,0.214,0.526,65.7,0.29,1995
Minnesota Timberwolves,25.4,21.0,61.0,18,64,-9.0,0.78,-8.22,102.6,112.4,-9.8,91.4,0.379,0.163,0.532,16.2,27.7,0.293,0.51,64.1,0.28,1995
League Average,27.2,,,41,41,0.0,0.01,0.01,108.3,108.3,,92.9,0.332,0.188,0.543,14.6,31.4,0.245,0.5,68.6,0.245,1995
Chicago Bulls*,29.9,72.0,10.0,70,12,12.24,-0.44,11.8,115.2,101.8,13.4,91.1,0.291,0.196,0.555,13.1,36.9,0.217,0.482,71.1,0.222,1996
Seattle SuperSonics*,29.6,64.0,18.0,61,21,7.79,-0.4,7.4,110.3,102.1,8.2,93.8,0.379,0.249,0.574,16.2,29.7,0.288,0.479,69.5,0.252,1996
Utah Jazz*,29.5,55.0,27.0,59,23,6.59,-0.34,6.25,113.3,106.1,7.2,90.0,0.359,0.158,0.566,14.1,31.6,0.276,0.489,71.7,0.295,1996
San Antonio Spurs*,29.4,59.0,23.0,58,24,6.3,-0.33,5.98,110.2,103.5,6.7,93.3,0.342,0.2,0.558,13.6,27.5,0.252,0.472,70.0,0.216,1996
Orlando Magic*,27.7,60.0,22.0,56,26,5.56,-0.16,5.4,112.9,106.9,6.0,91.8,0.336,0.248,0.562,13.2,29.0,0.232,0.491,68.8,0.223,1996
Los Angeles Lakers*,27.1,53.0,29.0,53,29,4.45,-0.24,4.21,111.4,106.6,4.8,92.4,0.306,0.203,0.555,13.3,30.1,0.228,0.491,66.8,0.205,1996
Indiana Pacers*,29.4,52.0,30.0,50,32,3.24,-0.14,3.11,110.8,107.2,3.6,89.3,0.389,0.157,0.56,15.5,33.0,0.294,0.491,69.3,0.271,1996
Cleveland Cavaliers*,27.5,47.0,35.0,49,33,2.59,-0.09,2.49,109.9,106.7,3.2,82.3,0.296,0.264,0.551,13.7,28.6,0.226,0.506,70.2,0.242,1996
Detroit Pistons*,26.8,46.0,36.0,49,33,2.5,-0.05,2.45,107.9,105.1,2.8,87.7,0.36,0.221,0.551,14.6,28.0,0.271,0.483,71.7,0.229,1996
Portland Trail Blazers*,28.1,44.0,38.0,48,34,2.35,-0.14,2.21,106.0,103.5,2.5,92.6,0.347,0.203,0.528,15.2,33.4,0.23,0.478,73.4,0.236,1996
New York Knicks*,30.4,47.0,35.0,48,34,2.32,-0.08,2.24,106.0,103.5,2.5,91.0,0.306,0.201,0.55,14.9,25.5,0.232,0.476,71.1,0.251,1996
Houston Rockets*,29.0,48.0,34.0,46,36,1.74,-0.12,1.63,109.3,107.4,1.9,93.2,0.317,0.265,0.555,14.1,26.9,0.243,0.495,68.6,0.206,1996
Miami Heat*,27.4,42.0,40.0,45,37,1.43,0.03,1.46,105.3,103.8,1.5,91.1,0.345,0.23,0.541,16.0,30.1,0.245,0.469,71.8,0.298,1996
Atlanta Hawks*,28.1,46.0,36.0,45,37,1.22,0.07,1.29,109.4,108.0,1.4,89.6,0.302,0.239,0.534,14.0,34.0,0.229,0.512,67.1,0.217,1996
Washington Bullets,24.8,39.0,43.0,44,38,1.06,-0.07,0.99,108.7,107.6,1.1,93.7,0.314,0.183,0.558,15.0,28.2,0.228,0.489,67.8,0.274,1996
Phoenix Suns*,27.9,41.0,41.0,42,40,0.33,-0.05,0.28,110.3,110.0,0.3,93.2,0.37,0.147,0.551,13.5,29.8,0.286,0.511,71.4,0.225,1996
Charlotte Hornets,27.8,41.0,41.0,39,43,-0.57,0.09,-0.48,111.2,111.8,-0.6,91.6,0.32,0.23,0.558,14.1,29.5,0.246,0.529,70.3,0.217,1996
Golden State Warriors,27.0,36.0,46.0,37,45,-1.45,0.03,-1.42,108.4,109.9,-1.5,93.4,0.349,0.179,0.539,14.8,33.9,0.265,0.51,67.2,0.232,1996
Denver Nuggets,26.8,35.0,47.0,33,49,-2.71,0.09,-2.62,105.2,108.1,-2.9,92.2,0.326,0.172,0.526,14.2,30.7,0.242,0.492,72.7,0.237,1996
Sacramento Kings*,26.6,39.0,43.0,33,49,-2.71,0.09,-2.62,106.2,109.1,-2.9,93.4,0.371,0.184,0.54,16.0,32.5,0.271,0.498,69.0,0.302,1996
Boston Celtics,26.3,33.0,49.0,32,50,-3.4,0.03,-3.37,106.4,109.9,-3.5,96.2,0.329,0.209,0.534,14.1,28.8,0.235,0.511,70.0,0.258,1996
Los Angeles Clippers,25.2,29.0,53.0,31,51,-3.6,0.13,-3.46,106.5,110.3,-3.8,93.2,0.3,0.208,0.544,15.3,29.3,0.21,0.512,67.9,0.282,1996
New Jersey Nets,27.4,30.0,52.0,29,53,-4.23,0.09,-4.14,101.9,106.5,-4.6,90.9,0.332,0.111,0.497,15.1,36.4,0.248,0.495,70.9,0.223,1996
Dallas Mavericks,25.1,26.0,56.0,28,54,-4.9,0.19,-4.71,106.1,111.2,-5.1,95.4,0.266,0.274,0.507,13.3,34.1,0.192,0.526,68.6,0.222,1996
Minnesota Timberwolves,26.4,26.0,56.0,26,56,-5.35,0.22,-5.14,104.1,109.8,-5.7,93.5,0.357,0.132,0.535,16.0,29.8,0.277,0.509,68.7,0.267,1996
Milwaukee Bucks,27.5,25.0,57.0,26,56,-5.3,0.38,-4.92,105.6,111.5,-5.9,90.2,0.295,0.163,0.534,15.0,29.7,0.218,0.52,68.4,0.248,1996
Toronto Raptors,26.1,21.0,61.0,21,61,-7.51,0.31,-7.2,103.8,111.8,-8.0,93.2,0.296,0.177,0.536,17.2,32.0,0.214,0.514,66.8,0.272,1996
Philadelphia 76ers,26.1,18.0,64.0,16,66,-10.0,0.55,-9.45,102.2,113.0,-10.8,92.2,0.353,0.224,0.522,16.0,29.4,0.259,0.522,65.0,0.217,1996
Vancouver Grizzlies,27.2,15.0,67.0,15,67,-9.98,0.43,-9.55,97.6,108.5,-10.9,91.0,0.308,0.174,0.5,15.5,27.3,0.223,0.51,66.3,0.241,1996
League Average,27.6,,,41,41,0.0,0.0,0.0,107.6,107.6,,91.8,0.329,0.2,0.542,14.7,30.6,0.243,0.499,69.4,0.243,1996
Chicago Bulls*,30.7,69.0,13.0,68,14,10.8,-0.11,10.7,114.4,102.4,12.0,90.0,0.267,0.203,0.547,12.5,35.9,0.199,0.471,69.3,0.196,1997
Utah Jazz*,29.6,64.0,18.0,64,18,8.79,-0.82,7.97,113.6,104.0,9.6,90.0,0.389,0.145,0.581,14.7,29.7,0.299,0.48,71.6,0.29,1997
Seattle SuperSonics*,30.0,57.0,25.0,62,20,7.68,-0.77,6.91,111.2,102.7,8.5,90.3,0.358,0.247,0.557,14.2,30.9,0.269,0.49,69.1,0.242,1997
Atlanta Hawks*,28.8,56.0,26.0,57,25,5.44,0.08,5.52,108.5,102.3,6.2,86.8,0.31,0.291,0.542,14.6,31.5,0.236,0.472,69.2,0.191,1997
Miami Heat*,27.2,61.0,21.0,57,25,5.49,0.07,5.56,106.8,100.6,6.2,88.2,0.324,0.299,0.546,15.5,29.2,0.233,0.465,70.6,0.248,1997
Detroit Pistons*,28.2,54.0,28.0,57,25,5.24,0.2,5.45,110.6,104.4,6.2,84.5,0.327,0.246,0.554,13.0,27.5,0.244,0.487,70.4,0.197,1997
Houston Rockets*,30.8,57.0,25.0,54,28,4.48,-0.62,3.85,108.8,104.0,4.8,91.6,0.307,0.284,0.56,15.6,28.4,0.232,0.481,71.4,0.19,1997
Los Angeles Lakers*,26.5,56.0,26.0,53,29,4.27,-0.61,3.66,108.3,103.7,4.6,91.1,0.351,0.226,0.535,13.7,31.6,0.243,0.478,68.5,0.231,1997
Portland Trail Blazers*,26.4,49.0,33.0,53,29,4.17,-0.61,3.56,107.9,103.3,4.6,90.9,0.35,0.217,0.544,15.4,32.5,0.249,0.471,72.4,0.268,1997
New York Knicks*,29.7,57.0,25.0,50,32,3.12,0.18,3.31,104.4,101.0,3.4,90.5,0.34,0.208,0.546,17.0,30.5,0.255,0.463,73.4,0.279,1997
Cleveland Cavaliers,26.7,42.0,40.0,47,35,1.84,0.47,2.32,104.6,102.4,2.2,82.9,0.297,0.215,0.531,15.0,29.4,0.215,0.482,71.9,0.281,1997
Charlotte Hornets*,29.1,54.0,28.0,46,36,1.87,0.26,2.13,110.9,108.9,2.0,88.6,0.313,0.218,0.562,14.3,28.7,0.243,0.496,68.1,0.204,1997
Washington Bullets*,25.9,44.0,38.0,46,36,1.62,0.15,1.77,106.6,104.9,1.7,92.4,0.296,0.15,0.54,14.6,30.2,0.21,0.491,70.3,0.226,1997
Indiana Pacers,27.9,39.0,43.0,44,38,0.98,0.52,1.49,105.8,104.7,1.1,89.0,0.374,0.181,0.537,15.5,31.3,0.27,0.48,70.4,0.258,1997
Phoenix Suns*,28.5,40.0,42.0,43,39,0.66,-0.45,0.21,109.3,108.6,0.7,93.2,0.317,0.213,0.552,13.4,27.1,0.241,0.507,69.4,0.215,1997
Orlando Magic*,29.4,45.0,37.0,40,42,-0.35,0.28,-0.07,105.6,106.0,-0.4,88.3,0.304,0.256,0.524,14.5,30.9,0.227,0.495,67.3,0.211,1997
Minnesota Timberwolves*,26.3,40.0,42.0,37,45,-1.48,-0.35,-1.82,105.5,107.1,-1.6,90.7,0.339,0.17,0.533,14.4,28.8,0.254,0.486,68.3,0.252,1997
Milwaukee Bucks,27.3,33.0,49.0,35,47,-1.89,0.51,-1.38,106.2,108.3,-2.1,89.5,0.334,0.146,0.541,15.1,29.7,0.248,0.501,69.9,0.253,1997
Los Angeles Clippers*,25.5,36.0,46.0,34,48,-2.35,-0.31,-2.66,105.1,107.6,-2.5,91.3,0.31,0.2,0.524,14.7,30.8,0.227,0.499,68.1,0.269,1997
Toronto Raptors,25.1,30.0,52.0,32,50,-3.12,0.57,-2.56,104.6,108.0,-3.4,90.6,0.303,0.245,0.521,15.2,32.5,0.218,0.504,68.6,0.258,1997
Sacramento Kings,27.4,34.0,48.0,31,51,-3.38,-0.26,-3.64,105.0,108.7,-3.7,91.0,0.313,0.16,0.526,15.0,32.0,0.226,0.495,68.5,0.264,1997
New Jersey Nets,26.8,26.0,56.0,28,54,-4.56,0.67,-3.89,104.7,109.7,-5.0,92.4,0.286,0.193,0.499,13.9,36.4,0.212,0.503,69.0,0.244,1997
Golden State Warriors,26.7,30.0,52.0,28,54,-4.71,-0.2,-4.9,107.2,112.2,-5.0,91.9,0.332,0.208,0.543,15.8,32.3,0.258,0.518,67.5,0.234,1997
Denver Nuggets,28.6,21.0,61.0,24,58,-6.28,-0.12,-6.4,104.5,111.2,-6.7,92.4,0.298,0.256,0.53,15.2,28.8,0.227,0.501,69.3,0.206,1997
Philadelphia 76ers,25.5,22.0,60.0,24,58,-6.54,0.65,-5.89,104.6,111.4,-6.8,95.3,0.358,0.198,0.518,15.3,34.1,0.259,0.51,66.5,0.222,1997
Dallas Mavericks,27.1,24.0,58.0,23,59,-6.35,-0.12,-6.47,101.1,108.2,-7.1,89.0,0.297,0.204,0.509,15.4,30.0,0.213,0.5,67.3,0.229,1997
Boston Celtics,26.1,15.0,67.0,22,60,-7.33,0.71,-6.62,103.9,111.4,-7.5,95.8,0.316,0.191,0.52,14.5,29.4,0.237,0.539,68.5,0.243,1997
San Antonio Spurs,29.9,20.0,62.0,19,63,-7.88,-0.05,-7.93,103.3,112.3,-9.0,87.3,0.302,0.185,0.512,14.7,32.4,0.217,0.514,67.0,0.236,1997
Vancouver Grizzlies,25.0,14.0,68.0,15,67,-10.23,0.06,-10.17,100.3,111.8,-11.5,88.4,0.269,0.197,0.507,15.3,29.7,0.191,0.51,64.1,0.224,1997
League Average,27.6,,,41,41,0.0,0.0,0.0,106.7,106.7,,90.1,0.32,0.212,0.536,14.8,30.8,0.236,0.493,69.2,0.236,1997
Los Angeles Lakers*,25.8,61.0,21.0,61,21,7.74,-0.87,6.88,111.9,103.7,8.2,93.6,0.42,0.216,0.559,14.0,31.6,0.285,0.467,68.8,0.245,1998
Seattle SuperSonics*,31.1,61.0,21.0,61,21,7.17,-0.84,6.33,111.6,103.6,8.0,89.8,0.327,0.243,0.558,13.4,28.7,0.236,0.478,66.1,0.223,1998
Chicago Bulls*,31.7,62.0,20.0,61,21,7.11,0.13,7.24,107.7,99.8,7.9,89.0,0.295,0.141,0.516,13.3,35.7,0.219,0.457,70.6,0.22,1998
Utah Jazz*,29.7,62.0,20.0,59,23,6.54,-0.81,5.73,112.7,105.4,7.3,89.2,0.433,0.11,0.569,14.8,32.3,0.334,0.471,71.0,0.271,1998
Indiana Pacers*,29.7,58.0,24.0,59,23,6.09,0.16,6.25,108.4,101.6,6.8,87.9,0.343,0.165,0.55,14.0,27.9,0.262,0.453,67.8,0.236,1998
Phoenix Suns*,28.2,56.0,26.0,56,26,5.18,-0.75,4.44,107.4,101.8,5.6,91.4,0.29,0.18,0.54,14.0,29.7,0.217,0.471,70.0,0.227,1998
Miami Heat*,28.1,55.0,27.0,56,26,4.93,0.16,5.09,107.6,102.0,5.6,87.9,0.329,0.244,0.538,14.5,31.5,0.243,0.452,69.6,0.257,1998
San Antonio Spurs*,28.7,56.0,26.0,53,29,3.99,-0.69,3.3,103.8,99.4,4.4,88.4,0.35,0.139,0.531,15.6,30.6,0.241,0.437,72.2,0.218,1998
Atlanta Hawks*,29.4,50.0,32.0,51,31,3.51,0.34,3.85,108.2,104.3,3.9,87.7,0.364,0.16,0.533,14.1,33.9,0.275,0.468,69.1,0.194,1998
Cleveland Cavaliers*,24.6,47.0,35.0,49,33,2.73,0.33,3.06,102.2,99.1,3.1,89.9,0.352,0.129,0.529,16.5,30.0,0.266,0.46,71.1,0.264,1998
New York Knicks*,30.2,43.0,39.0,49,33,2.46,0.28,2.74,103.0,100.3,2.7,88.2,0.283,0.178,0.521,14.7,29.5,0.218,0.455,74.0,0.282,1998
Charlotte Hornets*,29.2,51.0,31.0,47,35,2.0,0.45,2.45,107.5,105.3,2.2,89.4,0.345,0.142,0.542,14.6,30.4,0.259,0.493,70.8,0.224,1998
Detroit Pistons,27.2,37.0,45.0,46,36,1.57,0.37,1.95,105.3,103.5,1.8,88.2,0.359,0.147,0.523,14.0,30.9,0.267,0.474,70.2,0.243,1998
New Jersey Nets*,27.8,43.0,39.0,46,36,1.57,0.31,1.88,108.3,106.6,1.7,91.0,0.339,0.135,0.513,12.9,36.7,0.253,0.499,66.4,0.258,1998
Portland Trail Blazers*,26.1,46.0,36.0,45,37,1.4,-0.57,0.83,104.0,102.4,1.6,90.0,0.348,0.164,0.524,15.8,33.0,0.256,0.46,71.4,0.249,1998
Washington Wizards,26.7,42.0,40.0,43,39,0.59,0.53,1.11,105.2,104.5,0.7,91.8,0.317,0.139,0.513,13.0,31.2,0.219,0.481,69.5,0.248,1998
Minnesota Timberwolves*,26.4,45.0,37.0,43,39,0.71,-0.54,0.17,107.8,107.1,0.7,92.6,0.329,0.128,0.529,12.7,30.6,0.244,0.48,68.5,0.24,1998
Houston Rockets*,32.0,41.0,41.0,39,43,-0.76,-0.47,-1.23,107.7,108.6,-0.9,91.0,0.326,0.256,0.544,14.8,29.8,0.251,0.499,69.3,0.208,1998
Orlando Magic,30.8,41.0,41.0,38,44,-1.07,0.54,-0.53,102.6,103.8,-1.2,87.1,0.331,0.141,0.499,14.5,34.2,0.24,0.478,66.9,0.202,1998
Milwaukee Bucks,27.6,36.0,46.0,35,47,-1.91,0.58,-1.33,103.5,105.6,-2.1,90.2,0.339,0.11,0.527,15.8,31.4,0.26,0.485,69.1,0.282,1998
Philadelphia 76ers,25.4,31.0,51.0,34,48,-2.39,0.5,-1.89,102.8,105.4,-2.6,90.4,0.367,0.126,0.514,15.4,32.5,0.271,0.481,67.3,0.256,1998
Boston Celtics,23.9,36.0,46.0,33,49,-2.62,0.66,-1.96,102.6,105.4,-2.8,93.3,0.283,0.18,0.504,14.6,32.8,0.206,0.504,66.8,0.343,1998
Sacramento Kings,26.6,27.0,55.0,25,57,-5.59,-0.25,-5.83,100.8,106.9,-6.1,92.1,0.314,0.121,0.502,14.3,30.2,0.215,0.482,66.6,0.23,1998
Dallas Mavericks,26.3,20.0,62.0,24,58,-6.11,-0.22,-6.33,100.5,107.2,-6.7,89.9,0.257,0.175,0.498,13.6,27.6,0.194,0.488,65.1,0.195,1998
Los Angeles Clippers,25.7,17.0,65.0,21,61,-7.37,-0.16,-7.53,103.3,111.2,-7.9,92.4,0.306,0.219,0.518,14.8,29.6,0.221,0.498,66.1,0.243,1998
Vancouver Grizzlies,26.5,19.0,63.0,22,60,-7.3,-0.17,-7.47,104.1,112.0,-7.9,92.1,0.327,0.137,0.527,15.8,31.5,0.242,0.507,66.9,0.24,1998
Toronto Raptors,24.8,16.0,66.0,17,65,-9.27,0.94,-8.33,101.2,111.0,-9.8,92.6,0.302,0.159,0.504,15.1,32.1,0.217,0.508,62.9,0.235,1998
Golden State Warriors,25.9,19.0,63.0,17,65,-9.12,-0.08,-9.2,95.8,105.7,-9.9,91.4,0.278,0.101,0.468,15.1,33.7,0.197,0.469,68.6,0.247,1998
Denver Nuggets,26.5,11.0,71.0,12,70,-11.78,0.04,-11.74,99.0,112.1,-13.1,89.7,0.335,0.139,0.496,15.1,30.2,0.259,0.506,66.3,0.285,1998
League Average,27.6,,,41,41,0.0,0.0,0.0,105.0,105.0,,90.3,0.33,0.159,0.524,14.5,31.4,0.243,0.478,68.6,0.243,1998
San Antonio Spurs*,30.1,37.0,13.0,39,11,8.06,-0.94,7.12,104.0,95.0,9.0,88.6,0.371,0.137,0.523,14.6,30.4,0.259,0.423,69.5,0.198,1999
Utah Jazz*,30.3,37.0,13.0,37,13,6.52,-0.99,5.54,105.8,98.4,7.4,87.0,0.417,0.107,0.545,16.0,30.0,0.32,0.441,70.4,0.242,1999
Portland Trail Blazers*,27.4,35.0,15.0,36,14,6.36,-0.69,5.67,104.8,97.7,7.1,89.2,0.341,0.171,0.521,14.5,31.8,0.253,0.445,71.8,0.233,1999
Miami Heat*,30.3,33.0,17.0,35,15,4.96,0.15,5.11,104.7,98.9,5.8,84.8,0.354,0.226,0.54,15.3,27.3,0.26,0.439,71.0,0.226,1999
Indiana Pacers*,30.8,33.0,17.0,32,18,3.74,0.12,3.86,108.7,104.4,4.3,86.4,0.318,0.207,0.537,12.8,28.7,0.253,0.46,69.9,0.236,1999
Detroit Pistons*,27.7,29.0,21.0,32,18,3.42,0.55,3.97,104.2,100.3,3.9,86.3,0.345,0.183,0.528,15.6,30.5,0.256,0.468,72.0,0.259,1999
Atlanta Hawks*,29.6,31.0,19.0,31,19,2.9,-0.08,2.82,100.5,97.1,3.4,85.3,0.378,0.171,0.492,14.5,33.1,0.277,0.437,72.1,0.202,1999
Los Angeles Lakers*,27.5,31.0,19.0,30,20,3.02,-0.35,2.68,107.6,104.3,3.3,91.6,0.382,0.174,0.538,14.1,30.6,0.261,0.468,70.2,0.267,1999
Orlando Magic*,28.7,33.0,17.0,30,20,2.6,0.51,3.11,100.3,97.4,2.9,88.8,0.318,0.171,0.498,15.4,32.6,0.222,0.473,70.8,0.181,1999
Houston Rockets*,29.6,31.0,19.0,29,21,2.32,-0.93,1.39,105.4,102.9,2.5,88.8,0.313,0.241,0.545,15.8,27.8,0.228,0.461,69.9,0.188,1999
Phoenix Suns*,29.3,27.0,23.0,29,21,2.26,-0.11,2.15,105.8,103.3,2.5,90.0,0.303,0.175,0.526,13.0,28.4,0.231,0.485,69.8,0.216,1999
Philadelphia 76ers*,26.0,28.0,22.0,29,21,2.06,0.5,2.56,99.9,97.6,2.3,88.6,0.383,0.096,0.494,15.3,34.2,0.276,0.454,69.8,0.249,1999
Milwaukee Bucks*,28.3,28.0,22.0,28,22,1.66,0.0,1.66,104.9,103.0,1.9,87.0,0.303,0.162,0.53,14.3,29.0,0.222,0.463,67.6,0.275,1999
New York Knicks*,29.0,27.0,23.0,27,23,1.02,0.43,1.45,98.6,97.5,1.1,86.9,0.329,0.159,0.509,15.9,27.9,0.241,0.434,71.0,0.258,1999
Minnesota Timberwolves*,27.2,25.0,25.0,26,24,0.38,-0.55,-0.17,101.9,101.5,0.4,91.0,0.264,0.095,0.481,11.7,32.5,0.196,0.467,70.2,0.276,1999
Charlotte Hornets,29.0,26.0,24.0,25,25,-0.1,0.73,0.63,102.3,102.4,-0.1,89.7,0.372,0.198,0.537,15.5,24.4,0.278,0.461,69.5,0.24,1999
Sacramento Kings*,26.1,27.0,23.0,24,26,-0.42,-0.47,-0.89,102.7,103.1,-0.4,96.0,0.3,0.219,0.514,14.7,30.6,0.205,0.471,67.7,0.176,1999
Seattle SuperSonics,31.2,25.0,25.0,23,27,-1.08,-0.35,-1.43,105.0,106.2,-1.2,89.6,0.341,0.226,0.519,14.3,31.9,0.232,0.489,68.6,0.213,1999
Toronto Raptors,27.3,23.0,27.0,22,28,-1.64,0.33,-1.32,102.0,103.9,-1.9,88.8,0.338,0.168,0.504,15.0,33.8,0.257,0.473,70.2,0.258,1999
Boston Celtics,24.3,19.0,31.0,22,28,-1.86,0.11,-1.75,100.4,102.4,-2.0,91.5,0.259,0.182,0.501,14.8,30.6,0.179,0.465,69.4,0.287,1999
Cleveland Cavaliers,26.7,22.0,28.0,22,28,-1.72,0.78,-0.94,99.6,101.6,-2.0,86.4,0.381,0.15,0.52,15.9,25.1,0.285,0.468,69.0,0.267,1999
Washington Wizards,29.3,18.0,32.0,21,29,-2.24,0.49,-1.75,101.2,103.7,-2.5,89.8,0.302,0.146,0.507,14.1,28.2,0.213,0.474,69.5,0.273,1999
Dallas Mavericks,26.1,19.0,31.0,21,29,-2.4,-0.1,-2.5,102.3,104.9,-2.6,89.0,0.3,0.148,0.502,13.2,29.8,0.218,0.476,69.1,0.212,1999
Golden State Warriors,28.1,21.0,29.0,20,30,-2.5,-0.13,-2.63,98.4,101.1,-2.7,88.9,0.282,0.135,0.471,14.1,35.2,0.19,0.445,70.4,0.29,1999
New Jersey Nets,26.0,16.0,34.0,18,32,-3.78,0.58,-3.2,99.5,103.6,-4.1,91.5,0.301,0.163,0.485,13.7,31.1,0.231,0.481,69.7,0.238,1999
Denver Nuggets,24.6,14.0,36.0,14,36,-6.6,-0.07,-6.67,103.1,110.4,-7.3,90.5,0.332,0.231,0.511,13.9,30.1,0.253,0.499,69.2,0.248,1999
Vancouver Grizzlies,25.0,8.0,42.0,11,39,-8.66,-0.28,-8.94,98.4,107.9,-9.5,89.0,0.367,0.118,0.498,16.0,30.9,0.263,0.492,66.9,0.261,1999
Los Angeles Clippers,25.0,9.0,41.0,11,39,-8.82,-0.12,-8.94,100.0,109.7,-9.7,89.5,0.306,0.167,0.497,14.9,30.6,0.22,0.503,66.9,0.279,1999
Chicago Bulls,28.6,13.0,37.0,9,41,-9.46,0.88,-8.58,92.4,103.0,-10.6,88.1,0.309,0.159,0.47,15.1,26.8,0.219,0.483,71.7,0.241,1999
